step,train_loss,val_loss,lr,grad_norm
57300,0.157422,,1.00e-04,0.3724
57400,0.181629,,1.00e-04,0.3058
57500,0.165256,,1.00e-04,0.3137
57600,0.126937,,1.00e-04,0.3955
57700,0.135143,,1.00e-04,0.3327
57800,0.102535,,1.00e-04,0.3268
57900,0.084107,,1.00e-04,0.4634
58000,0.124342,,1.00e-04,0.3574
58000,,0.136106,,
58100,0.137311,,1.00e-04,0.2837
58200,0.147062,,1.00e-04,0.4185
58300,0.105451,,1.00e-04,0.3854
58400,0.136812,,1.00e-04,0.3139
58500,0.160992,,1.00e-04,0.2956
58600,0.153192,,1.00e-04,0.3842
58700,0.145977,,1.00e-04,0.4470
58800,0.152915,,1.00e-04,0.3929
58900,0.105700,,1.00e-04,0.3856
59000,0.125950,,1.00e-04,0.3223
59100,0.124306,,1.00e-04,0.3494
59200,0.135217,,1.00e-04,0.3243
59300,0.086363,,1.00e-04,0.4206
59400,0.147953,,1.00e-04,0.3448
59500,0.108380,,1.00e-04,0.3884
59600,0.151007,,1.00e-04,0.3310
59700,0.137184,,1.00e-04,0.2963
59800,0.151326,,1.00e-04,0.3513
59900,0.176813,,1.00e-04,0.2779
60000,0.160073,,1.00e-04,0.2992
60000,,0.140512,,
60100,0.152732,,1.00e-04,0.2933
60200,0.132752,,1.00e-04,0.3749
60300,0.140452,,1.00e-04,0.4041
60400,0.111035,,1.00e-04,0.4118
60500,0.164194,,1.00e-04,0.2811
60600,0.119243,,1.00e-04,0.3717
60700,0.173783,,1.00e-04,0.3375
60800,0.130212,,1.00e-04,0.3470
60900,0.135448,,1.00e-04,0.4003
61000,0.180297,,1.00e-04,0.3016
61100,0.115817,,1.00e-04,0.3848
61200,0.136207,,1.00e-04,0.3100
61300,0.104396,,1.00e-04,0.3882
61400,0.143718,,1.00e-04,0.2906
61500,0.150670,,1.00e-04,0.3647
61600,0.148712,,1.00e-04,0.3168
61700,0.160040,,1.00e-04,0.3231
61800,0.138869,,1.00e-04,0.3215
61900,0.153648,,1.00e-04,0.3977
62000,0.138424,,1.00e-04,0.3601
62000,,0.131033,,
62100,0.131095,,1.00e-04,0.3262
62200,0.115976,,1.00e-04,0.3359
62300,0.119627,,1.00e-04,0.3351
62400,0.095004,,1.00e-04,0.3175
62500,0.149339,,1.00e-04,0.3872
62600,0.125163,,1.00e-04,0.3328
62700,0.156364,,1.00e-04,0.2999
62800,0.154614,,1.00e-04,0.3160
62900,0.139241,,1.00e-04,0.4353
63000,0.115645,,1.00e-04,0.3718
63100,0.108989,,1.00e-04,0.3820
63200,0.131804,,1.00e-04,0.3085
63300,0.119712,,1.00e-04,0.3695
63400,0.120183,,1.00e-04,0.3098
63500,0.157419,,1.00e-04,0.3755
63600,0.137445,,1.00e-04,0.3849
63700,0.144847,,1.00e-04,0.3694
63800,0.160297,,1.00e-04,0.3040
63900,0.141435,,1.00e-04,0.3475
64000,0.119445,,1.00e-04,0.3275
64000,,0.132389,,
64100,0.127231,,1.00e-04,0.2936
64200,0.100680,,1.00e-04,0.4034
64300,0.166377,,1.00e-04,0.2845
